# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
       26.5673633910     -762.0176008080
       36.5673633910     -762.0174077650
       46.5673633910     -762.0168093700
       56.5673633910     -762.0158593400
       66.5673633910     -762.0147193130
       76.5673633910     -762.0136539520
       86.5673633910     -762.0130243830
       96.5673633910     -762.0131289890
      106.5673633910     -762.0138721050
      116.5673633910     -762.0149144330
      126.5673633910     -762.0159646950
      136.5673633910     -762.0168169400
      146.5673633910     -762.0173461510
      156.5673633910     -762.0175046300
      166.5673633910     -762.0173615190
      176.5673633910     -762.0171595460
      186.5673633910     -762.0172074740
      196.5673633910     -762.0174279920
      206.5673633910     -762.0174936650
      216.5673633910     -762.0172197870
      226.5673633910     -762.0165801820
      236.5673633910     -762.0156487150
      246.5673633910     -762.0145753160
      256.5673633910     -762.0135896820
      266.5673633910     -762.0130133390
      276.5673633910     -762.0131507570
      286.5673633910     -762.0139589070
      296.5673633910     -762.0150829340
      306.5673633910     -762.0161872460
      316.5673633910     -762.0170395590
      326.5673633910     -762.0175114760
      336.5673633910     -762.0175855500
      346.5673633910     -762.0173746680
      356.5673633910     -762.0171454950
      366.5673633910     -762.0171975990
      376.5673633910     -762.0174583700
      386.5673633910     -762.0176012390
