# dihedral(degree)     energy(kJ/mol)
-173.4                 23.6661
-163.4                 13.6832
-153.4                  0.0000
-143.4                -15.4990
-133.4                -32.0769
-123.4                -49.2475
-113.4                -66.5283
-103.4                -82.3587
 -93.4                -92.3688
 -83.4                -89.3575
 -73.4                -74.8306
 -63.4                -56.9648
 -53.4                -38.6539
 -43.4                -20.9217
 -33.4                 -3.7187
 -23.4                 12.2974
 -13.4                 26.0044
  -3.4                 34.6931
   6.6                 32.8872
  16.6                 22.1555
  26.6                  7.4297
  26.6                  7.5481
  36.6                 -9.0172
  46.6                -26.4562
  56.6                -44.3913
  66.6                -62.6839
  76.6                -80.0893
  86.6                -91.7990
  96.6                -90.4502
 106.6                -77.7140
 116.6                -61.1865
 126.6                -43.8266
 136.6                -26.7772
 146.6                -10.5104
 156.6                  4.5017
 166.6                 17.4155
 176.6                 25.4007
