# dihedral(degree)     energy(kJ/mol)
-173.4                 -0.3177
-163.4                 -0.6103
-153.4                  0.0000
-143.4                  1.5951
-133.4                  3.8868
-123.4                  6.5634
-113.4                  9.3379
-103.4                 12.0106
 -93.4                 14.1644
 -83.4                 15.3075
 -73.4                 15.0187
 -63.4                 13.1950
 -53.4                 10.8973
 -43.4                  8.6991
 -33.4                  7.4720
 -23.4                  7.2704
 -13.4                  8.0073
  -3.4                  9.1486
   6.6                  8.8909
  16.6                  7.7796
  26.6                  7.1691
  26.6                  7.2830
  36.6                  7.7609
  46.6                  9.3038
  56.6                 11.5878
  66.6                 13.8910
  76.6                 15.3149
  86.6                 15.1690
  96.6                 13.4567
 106.6                 11.2141
 116.6                  8.5340
 126.6                  5.7423
 136.6                  3.1626
 146.6                  1.0248
 156.6                 -0.3208
 166.6                 -0.5515
 176.6                 -0.1434
