# dihedral(degree)     energy(kJ/mol)
-173.4                 -0.0696
-163.4                 -0.1503
-153.4                  0.0000
-143.4                 -0.0067
-133.4                 -0.1243
-123.4                 -0.0933
-113.4                  0.0010
-103.4                  0.0005
 -93.4                 -0.1008
 -83.4                 -0.0865
 -73.4                  0.0210
 -63.4                 -0.1163
 -53.4                 -0.0856
 -43.4                 -0.0789
 -33.4                  0.0333
 -23.4                 -0.1145
 -13.4                 -0.2626
  -3.4                  0.0934
   6.6                  0.0017
  16.6                 -0.1705
  26.6                 -0.0945
  26.6                  0.0195
  36.6                  0.0434
  46.6                 -0.0889
  56.6                 -0.1329
  66.6                 -0.0445
  76.6                  0.0271
  86.6                 -0.0484
  96.6                 -0.2226
 106.6                 -0.0153
 116.6                 -0.0032
 126.6                 -0.1256
 136.6                 -0.0865
 146.6                  0.0082
 156.6                 -0.0798
 166.6                 -0.1368
 176.6                  0.0383
